training_loss,hr@10,ndcg@10,lr,best_val_hr,time_taken
1.0367498424850827,0.1354501435488709,0.07815991548199362,0.00095,-1.0,100.34688218683004
1.013946579775383,0.1379211838139721,0.08089111240593971,0.0009025,0.1354501435488709,101.2925384491682
1.008648430222349,0.13846395566410993,0.08081483713467603,0.000857375,0.1379211838139721,111.46397164463997
1.005732657410327,0.1385639399522932,0.08189297618344989,0.0008145062499999999,0.13846395566410993,101.29329657927155
1.0032772744486493,0.13723557726642957,0.08114476029424543,0.0007737809374999998,0.1385639399522932,100.43209036812186
1.0014237819794545,0.13862107383125508,0.0823713304186,0.0007350918906249997,0.1385639399522932,99.87355269119143
0.999751096026771,0.13867820771021697,0.08242673513693712,0.0006983372960937497,0.13862107383125508,100.55501442030072
0.9994797957226824,0.1383782548456671,0.08263046485122981,0.0006634204312890621,0.13867820771021697,108.60826635733247
0.9986370248485091,0.1383354044364457,0.0821787487478767,0.000630249409724609,0.13867820771021697,133.86823186650872
0.9976564296311826,0.14016368856322578,0.08370153998618197,0.0005987369392383785,0.13867820771021697,138.10280349850655
0.9973066207041906,0.1388067589378812,0.0833977697740186,0.0005688000922764595,0.14016368856322578,135.39953089132905
0.9965682495773601,0.1402493893816686,0.0834612846881977,0.0005403600876626365,0.14016368856322578,138.36627167090774
0.9960708772351581,0.13974946794075216,0.08362787380585626,0.0005133420832795047,0.1402493893816686,136.96909940615296
0.9954596001116841,0.1394923654854237,0.08323065394451555,0.00048767497911552944,0.1402493893816686,141.06718713790178
0.9949553592113516,0.1397351844710117,0.08362161806301537,0.00046329123015975297,0.1402493893816686,136.7956305332482
0.9948756247813348,0.13959234977360702,0.0828911943565397,0.0004401266686517653,0.1402493893816686,135.7887268587947
0.9942200211654851,0.13996371998685922,0.08420690958355234,0.00041812033521917703,0.1402493893816686,135.99796378985047
0.9941928084088418,0.13970661753153077,0.08381910411325684,0.00039721431845821814,0.1402493893816686,135.049315482378
0.9937983338314175,0.1395494993643856,0.08339851889866776,0.0003773536025353072,0.1402493893816686,142.79514371231198
0.9935724209061052,0.13982088528945452,0.08403237000804607,0.0003584859224085418,0.1402493893816686,137.31037086620927
0.9931586404387214,0.13972090100127124,0.08410747693195801,0.0003405616262881147,0.1402493893816686,139.28150099143386
0.9928653862511219,0.1394066646669809,0.08381109915874259,0.00032353354497370894,0.1402493893816686,137.20089525729418
0.9928406810629739,0.1394066646669809,0.0836744220585529,0.00030735686772502346,0.1402493893816686,137.45506859198213
0.9926911099410363,0.1396352001828284,0.08408532151850043,0.00029198902433877225,0.1402493893816686,136.4159457422793
0.9922018330537423,0.13966376712230935,0.08399580006318079,0.00027738957312183364,0.1402493893816686,143.53447894379497
0.9922952324533375,0.13967805059204982,0.08388534320164497,0.0002635200944657419,0.1402493893816686,138.31816928833723
0.9918551015134703,0.1394923654854237,0.08376261688369094,0.0002503440897424548,0.1402493893816686,136.5407284721732
0.9915997452012364,0.13947808201568326,0.08410080659130469,0.00023782688525533205,0.1402493893816686,139.87273969128728
0.9917106114532219,0.13987801916841638,0.08423652972522384,0.00022593554099256544,0.1402493893816686,138.20830819010735
0.9914367899816259,0.13959234977360702,0.08405883992294053,0.00021463876394293716,0.1402493893816686,142.22808272391558
0.991014408226205,0.13897816057476683,0.08365486423816502,0.0002039068257457903,0.1402493893816686,135.621869713068
0.9905702865973687,0.1397780348802331,0.08406674115649262,0.00019371148445850077,0.1402493893816686,132.87967777624726
0.9906607736072331,0.1401065546842639,0.08398740851676094,0.00018402591023557573,0.1402493893816686,137.81879399344325
0.9906330816161698,0.14002085386582108,0.08431469980778031,0.00017482461472379692,0.1402493893816686,139.3759225010872
0.9904708816320849,0.13980660181971405,0.08413313271830258,0.00016608338398760707,0.1402493893816686,137.16153656318784
0.9902196464743431,0.13943523160646185,0.08373645509369204,0.0001577792147882267,0.1402493893816686,144.52428659051657
0.9899813310101874,0.13960663324334746,0.08402536927090293,0.00014989025404881537,0.1402493893816686,136.20885512977839
0.9896463848773043,0.1399208695776378,0.08439792807352337,0.00014239574134637458,0.1402493893816686,136.58429200202227
0.9896185733936387,0.13982088528945452,0.0842790539922398,0.00013527595427905584,0.1402493893816686,138.05311430990696
0.9897669539046244,0.1401065546842639,0.08426254002115444,0.00012851215656510304,0.1402493893816686,137.20510255545378
0.9898051720868517,0.14003513733556155,0.08437465167949994,0.00012208654873684788,0.1402493893816686,137.34166260063648
0.9894485264962073,0.1397351844710117,0.08433946457755835,0.00011598222130000548,0.1402493893816686,144.00133550167084
0.9891346451460334,0.13930668037879762,0.08404954634112974,0.00011018311023500519,0.1402493893816686,135.43814520537853
0.9890899428719794,0.1399208695776378,0.08434618859142826,0.00010467395472325493,0.1402493893816686,136.99456346035004
0.9890262442053563,0.13987801916841638,0.0843653635647214,9.944025698709218e-05,0.1402493893816686,134.97157714888453
0.9889902017996995,0.14004942080530203,0.08438864833648854,9.446824413773756e-05,0.1402493893816686,136.68876235559583
0.9885443675343689,0.13997800345659966,0.08454214989745541,8.974483193085068e-05,0.1402493893816686,144.1447684392333
0.9888082836402182,0.13996371998685922,0.08456043806723212,8.525759033430814e-05,0.1402493893816686,129.54237204417586
0.9885638060473873,0.1400637042750425,0.08448855382284633,8.099471081759274e-05,0.1402493893816686,127.87352684512734
0.9884817227911905,0.13997800345659966,0.0844392681247364,7.69449752767131e-05,0.1402493893816686,104.44617090001702
0.9883657762075909,0.14030652326063048,0.08447583214347616,7.309772651287744e-05,0.1402493893816686,100.16830895096064
0.9883822463112296,0.14063504306466126,0.08464950260891027,6.944284018723356e-05,0.14030652326063048,100.81606970727444
0.9882347680859853,0.14026367285140906,0.08449414375677698,6.597069817787189e-05,0.14063504306466126,104.65455967187881
0.9882575978744619,0.13982088528945452,0.08420099176727626,6.267216326897829e-05,0.14063504306466126,98.65063592791557
0.9883814536239373,0.14049220836725657,0.0845090250188106,5.953855510552937e-05,0.14063504306466126,99.64354006946087
0.9880519045227406,0.1401065546842639,0.08429491136416267,5.65616273502529e-05,0.14063504306466126,100.25641732662916
0.9883101102529975,0.13993515304737827,0.08443662533308481,5.373354598274025e-05,0.14063504306466126,96.55369516089559
0.988104349560014,0.1403779406093328,0.08445372170726172,5.104686868360323e-05,0.14063504306466126,105.57996588945389
0.9881732221277366,0.14039222407907329,0.08459228191451704,4.849452524942307e-05,0.14063504306466126,103.79600825533271
0.9878055394458597,0.14026367285140906,0.08449752321517347,4.606979898695191e-05,0.14063504306466126,108.54145928099751
0.987599327163243,0.14056362571595893,0.08456836402806855,4.376630903760431e-05,0.14063504306466126,129.2408371269703
0.9878259910634928,0.14030652326063048,0.08454940639107753,4.157799358572409e-05,0.14063504306466126,127.64913131296635
0.9879634867529546,0.14053505877647798,0.08468885312969036,3.9499093906437885e-05,0.14063504306466126,129.53717239946127
0.987750338886948,0.14053505877647798,0.08468024559345103,3.752413921111599e-05,0.14063504306466126,135.855803437531
0.9876149267121687,0.1403779406093328,0.08450879426238911,3.564793225056019e-05,0.14063504306466126,129.41954908519983
0.9877460127665748,0.14070646041336363,0.08472830078998765,3.3865535638032174e-05,0.14063504306466126,129.91898043081164
0.9875520052269129,0.14036365713959234,0.08438533412339294,3.2172258856130564e-05,0.14070646041336363,90.10643767938018
0.9877618247891693,0.14082072817128738,0.08468820722417875,3.056364591332403e-05,0.14070646041336363,101.3317560069263
0.9876575118662888,0.1408064447015469,0.084704945181854,2.903546361765783e-05,0.14082072817128738,126.84839484840631
0.9874932183644017,0.14046364142777565,0.08467456324844652,2.758369043677494e-05,0.14082072817128738,146.25719111412764
0.9871563567866791,0.14086357858050877,0.0847538856500792,2.620450591493619e-05,0.14082072817128738,151.5751081481576
0.9875434944246108,0.14092071245947066,0.08488271251514999,2.489428061918938e-05,0.14086357858050877,167.09520310908556
0.9873610956141456,0.14060647612518032,0.0846487763892328,2.364956658822991e-05,0.14092071245947066,166.63017604872584
0.9872208552125167,0.14106354715687536,0.08469278803826805,2.2467088258818413e-05,0.14092071245947066,166.32186308130622
0.987497572794257,0.14050649183699704,0.08462247132776096,2.134373384587749e-05,0.14106354715687536,171.38329404965043
0.9875617257310878,0.1406207595949208,0.08459188505476932,2.0276547153583614e-05,0.14106354715687536,163.8681030459702
0.9873927189292594,0.14072074388310407,0.08467858240821018,1.9262719795904432e-05,0.14106354715687536,142.35958127304912
0.9874438143953327,0.14077787776206596,0.08464225123937011,1.829958380610921e-05,0.14106354715687536,134.9674602150917
0.987493158269408,0.14109211409635627,0.08475377368493624,1.738460461580375e-05,0.14106354715687536,160.83435195684433
0.98749835856218,0.14073502735284454,0.08464279020042946,1.6515374385013564e-05,0.14109211409635627,172.70812743902206
0.9870654429988408,0.14096356286869205,0.08473595701220317,1.5689605665762886e-05,0.14109211409635627,164.98032220825553
0.9869695614199315,0.14106354715687536,0.08478235080898629,1.490512538247474e-05,0.14109211409635627,166.20963133499026
0.9872846649704293,0.14087786205024924,0.08474711282199074,1.4159869113351003e-05,0.14109211409635627,163.95742889493704
0.9870052040712924,0.1412777992029824,0.08488973173687879,1.3451875657683452e-05,0.14109211409635627,166.91216085106134
0.9871518008887659,0.14089214551998971,0.08488608807481159,1.277928187479928e-05,0.1412777992029824,163.72060967236757
0.9873540987698208,0.14114924797531817,0.0848797634801283,1.2140317781059316e-05,0.1412777992029824,172.09130899235606
0.9873353453179382,0.14123494879376097,0.08485983134568915,1.153330189200635e-05,0.1412777992029824,164.0812879949808
0.9874682536508745,0.1411349645055777,0.0849025015805431,1.0956636797406032e-05,0.1412777992029824,166.47430685535073
0.9872213955226284,0.14139206696090614,0.08492109685259099,1.0408804957535729e-05,0.1412777992029824,166.59889286756516
0.9870414086517076,0.14126351573324192,0.08485807079400168,9.888364709658941e-06,0.14139206696090614,165.50618229061365
0.9871640687886714,0.14126351573324192,0.08489094328072122,9.393946474175994e-06,0.14139206696090614,174.66803780570626
0.9875803895253804,0.14126351573324192,0.0849630003872876,8.924249150467194e-06,0.14139206696090614,163.9257219620049
0.987038576352313,0.14109211409635627,0.08483694190520687,8.478036692943835e-06,0.14139206696090614,166.5567378848791
0.9872375254875128,0.1412206653240205,0.08494975881472412,8.054134858296643e-06,0.14139206696090614,167.94058991223574
0.987069210949502,0.14139206696090614,0.08493293823143638,7.65142811538181e-06,0.14139206696090614,167.31053441762924
0.9871884211652675,0.14146348430960848,0.08500495830536628,7.26885670961272e-06,0.14139206696090614,168.774639274925
0.9874431429658991,0.14146348430960848,0.08488700329972243,6.905413874132084e-06,0.14146348430960848,175.46525674313307
0.9871341811564548,0.14130636614246334,0.08493663068602855,6.5601431804254795e-06,0.14146348430960848,169.63664595410228
0.9868812057828119,0.14137778349116567,0.08492154453248563,6.232136021404205e-06,0.14146348430960848,166.63565726950765
0.9870213486376802,0.14134921655168473,0.08491726185925762,5.920529220333994e-06,0.14146348430960848,168.8200647123158
