training_loss,hr@10,ndcg@10,lr,best_val_hr
1.2851282331047182,0.13984989156953104,0.06442802096167553,0.00095,0.13984989156953104
1.238091563222726,0.13985836269991866,0.0639436945365161,0.0009025,0.13985836269991866
1.2111553199112997,0.1386469910544863,0.06391526904011766,0.000857375,0.13985836269991866
1.1839318208291496,0.1394941040932502,0.06452507793655445,0.0008145062499999999,0.13985836269991866
1.153117037413567,0.14062076443480617,0.06455571929105376,0.0007737809374999998,0.14062076443480617
1.1114439616869745,0.1386215776633234,0.06369540829239903,0.0007350918906249997,0.14062076443480617
1.057622291155781,0.1426453645974519,0.06596650973881285,0.0006983372960937497,0.1426453645974519
1.0020566609802122,0.14206932773109243,0.06614776951721792,0.0006634204312890621,0.1426453645974519
0.9530927662213988,0.14101043643263758,0.06566733210169488,0.000630249409724609,0.1426453645974519
0.9200036081436008,0.13863004879371102,0.0646459258729686,0.0005987369392383785,0.1426453645974519
